Location,TimeOfDay,Weather,MotionDetected,SensorIsTriggered
Inside,Morning,Sunny,High,Yes
Inside,Morning,Sunny,Low,No
Inside,Morning,Rainy,High,Yes
Inside,Morning,Rainy,Low,No
Inside,Night,Sunny,High,Yes
Inside,Night,Sunny,Low,No
Inside,Night,Rainy,High,Yes
Inside,Night,Rainy,Low,No
Outside,Morning,Sunny,High,Yes
Outside,Morning,Sunny,Low,No
Outside,Morning,Rainy,High,Yes
Outside,Morning,Rainy,Low,No
Outside,Night,Sunny,High,Yes
Outside,Night,Sunny,Low,No
Outside,Night,Rainy,High,Yes
Outside,Night,Rainy,Low,No
Outside,Morning,Sunny,Low,No
Outside,Morning,Sunny,High,Yes
Inside,Night,Sunny,High,No
Inside,Night,Rainy,Low,Yes
Outside,Morning,Rainy,Low,No
Outside,Morning,Sunny,High,Yes
Inside,Night,Rainy,High,No
Inside,Morning,Rainy,Low,Yes
Inside,Morning,Sunny,Low,Yes
Inside,Night,Sunny,High,Yes
Outside,Night,Sunny,Low,Yes
Outside,Night,Rainy,Low,Yes
Inside,Morning,Rainy,High,Yes
Inside,Night,Rainy,High,No
Inside,Night,Sunny,High,No
Outside,Night,Sunny,Low,No
Outside,Morning,Rainy,Low,Yes
Inside,Night,Sunny,Low,Yes
Inside,Morning,Sunny,High,Yes
Inside,Night,Sunny,Low,Yes
Outside,Night,Rainy,Low,Yes
Outside,Night,Rainy,High,Yes
Outside,Morning,Sunny,High,No
Inside,Morning,Rainy,High,Yes
Inside,Night,Sunny,High,Yes
Outside,Night,Sunny,Low,Yes
Inside,Night,Rainy,High,Yes
Outside,Morning,Sunny,Low,No
Inside,Night,Sunny,High,No
Outside,Morning,Sunny,Low,Yes
Outside,Morning,Rainy,Low,No
Inside,Night,Sunny,Low,No
Outside,Morning,Sunny,High,Yes
Outside,Morning,Sunny,Low,Yes
Outside,Night,Sunny,Low,No
Outside,Morning,Sunny,High,Yes
Inside,Night,Sunny,High,No
Inside,Night,Rainy,Low,Yes
Outside,Night,Sunny,Low,No
Inside,Night,Sunny,High,No
Outside,Night,Sunny,Low,Yes
Inside,Night,Rainy,Low,Yes
Outside,Morning,Sunny,Low,Yes
Inside,Night,Rainy,Low,Yes
Inside,Night,Sunny,High,Yes
Outside,Night,Rainy,Low,No
Outside,Morning,Sunny,High,Yes
Outside,Night,Sunny,High,Yes
Inside,Night,Sunny,High,Yes
Inside,Morning,Sunny,Low,Yes
Inside,Morning,Rainy,Low,Yes
Inside,Night,Sunny,Low,No
Inside,Night,Rainy,Low,Yes
Inside,Morning,Sunny,Low,No
Outside,Night,Sunny,Low,No
Outside,Morning,Sunny,High,No
Outside,Night,Sunny,High,Yes
Inside,Night,Rainy,High,Yes
Inside,Morning,Rainy,Low,No
Inside,Morning,Sunny,High,Yes
Inside,Morning,Sunny,High,No
Inside,Night,Rainy,Low,Yes
Outside,Night,Rainy,Low,No
Inside,Night,Rainy,Low,No
Inside,Night,Rainy,Low,Yes
Inside,Morning,Rainy,High,No
Outside,Night,Sunny,High,Yes
Inside,Night,Rainy,Low,No
Inside,Night,Sunny,High,No
Outside,Night,Sunny,High,Yes
Inside,Night,Sunny,High,No
Inside,Night,Rainy,High,Yes
Outside,Night,Rainy,High,No
Outside,Morning,Rainy,High,No
Outside,Morning,Sunny,Low,Yes
Outside,Night,Sunny,High,No
Outside,Morning,Rainy,Low,Yes
Outside,Night,Sunny,High,No
Inside,Night,Sunny,High,Yes
Outside,Night,Rainy,Low,No
Outside,Night,Rainy,High,Yes
Outside,Morning,Sunny,Low,No
Inside,Night,Rainy,High,No
Outside,Night,Sunny,Low,No
Inside,Night,Sunny,Low,No
Inside,Night,Sunny,Low,No
Inside,Night,Sunny,High,Yes
Outside,Morning,Rainy,Low,Yes
Outside,Night,Rainy,High,No
Outside,Morning,Sunny,Low,Yes
Inside,Morning,Rainy,Low,No
Outside,Morning,Rainy,Low,Yes
Outside,Morning,Sunny,High,Yes
Inside,Night,Rainy,Low,Yes
Outside,Night,Sunny,High,No
Inside,Night,Rainy,High,No
Inside,Morning,Sunny,High,Yes
Outside,Night,Rainy,High,Yes
Outside,Morning,Sunny,Low,Yes
Outside,Morning,Sunny,Low,No
Outside,Night,Sunny,Low,Yes
Outside,Morning,Sunny,High,No
Outside,Morning,Rainy,Low,Yes
Inside,Night,Sunny,High,No
Outside,Night,Rainy,High,No
Inside,Night,Rainy,High,Yes
Outside,Night,Rainy,Low,No
Inside,Morning,Sunny,Low,No
Outside,Night,Sunny,High,Yes
Inside,Morning,Rainy,Low,No
Outside,Night,Sunny,Low,No
Outside,Night,Rainy,Low,Yes
Inside,Morning,Sunny,High,Yes
Inside,Night,Rainy,Low,No
Inside,Night,Rainy,Low,Yes
Inside,Morning,Sunny,Low,Yes
Inside,Night,Sunny,Low,Yes
Outside,Morning,Sunny,High,Yes
Outside,Night,Sunny,Low,Yes
Inside,Night,Rainy,Low,No
Inside,Night,Sunny,Low,No
Outside,Night,Sunny,Low,Yes
Outside,Morning,Sunny,High,Yes
Inside,Night,Sunny,Low,Yes
Outside,Night,Rainy,Low,Yes
Inside,Morning,Sunny,Low,Yes
Outside,Morning,Sunny,Low,Yes
Inside,Morning,Sunny,Low,No
Inside,Morning,Sunny,High,Yes
Inside,Morning,Sunny,Low,No
Inside,Morning,Rainy,Low,No
Outside,Morning,Rainy,Low,No
Outside,Night,Rainy,High,No
Inside,Night,Sunny,Low,No
Inside,Morning,Sunny,Low,No
Outside,Morning,Sunny,High,No
Outside,Night,Sunny,High,Yes
Outside,Morning,Sunny,High,Yes
Outside,Night,Rainy,High,No
Outside,Night,Sunny,High,Yes
Outside,Night,Rainy,High,Yes
Outside,Morning,Rainy,Low,Yes
Inside,Morning,Sunny,Low,No
Outside,Morning,Rainy,High,Yes
Inside,Night,Sunny,High,Yes
Outside,Night,Sunny,Low,Yes
Inside,Night,Rainy,Low,No
Outside,Night,Rainy,High,Yes
Outside,Night,Rainy,High,No
Outside,Night,Sunny,High,No
Inside,Night,Rainy,High,No
Inside,Morning,Sunny,Low,Yes
Inside,Morning,Rainy,Low,No
Outside,Night,Sunny,Low,No
Outside,Morning,Rainy,High,Yes
Outside,Morning,Rainy,Low,No
Outside,Night,Sunny,Low,No
Outside,Morning,Rainy,High,Yes
Inside,Night,Sunny,Low,Yes
Inside,Night,Sunny,High,No
Inside,Night,Rainy,High,Yes
Inside,Morning,Sunny,Low,Yes
Inside,Night,Sunny,Low,No
Outside,Night,Sunny,High,No
Outside,Night,Sunny,High,Yes
Inside,Morning,Sunny,High,No
Inside,Morning,Sunny,High,Yes
Inside,Night,Rainy,Low,No
Inside,Morning,Rainy,Low,No
Inside,Night,Sunny,High,No
Outside,Morning,Rainy,High,Yes
Outside,Night,Rainy,High,Yes
Inside,Morning,Sunny,Low,Yes
Inside,Night,Sunny,Low,Yes
Inside,Night,Sunny,High,No
Inside,Night,Rainy,Low,Yes
Inside,Night,Rainy,Low,No
Outside,Night,Rainy,Low,No
Outside,Night,Sunny,Low,Yes
Inside,Night,Rainy,Low,Yes
Inside,Night,Rainy,Low,No
Outside,Night,Sunny,High,Yes
Outside,Night,Rainy,Low,Yes
Outside,Night,Sunny,Low,No
